id,name,block,code,coderef,buyprice,sellprice,sellpricebrut,coutmoyen,remise,prixnet,devise,representprice,lastsellprice,refeq1,refeq2,stockprincipal,stockdepot,stocktotal,stockfacture,stockbon,equivalent,famille,cars,ref,diametre,repsprice,image,minstock,isnew,min,isoffer,offre,isactive,iscommanded,carlogos_id,category_id,mark_id,supplier_id,suppliercommand_id,refeq3,refeq4,representremise,near,qtycommande,newfob,stockinitial,adashicode,adashieq,refeq5
6765,DISQUE DE FRIEN RENAULT KANGOO 1.5 DCI ,,"",IBRA,,258.95,,,35,168.32,,,,,,,,0,0,,-+DF2586+R1301VR+-+-,,,203910,"",[],/products_imags/203910.jpg,,f,1,f,,f,f,2,15,5,,,,,0,f,0,0,0,,,
6764,DISQUE DE FRIEN RENAULT KANGOO D65 99-- 19 II ,,"",IBRA,,238.5,,,35,155.03,,,,,,,,0,0,,7700756572+DF1016+R1111V+-+-,,,203909,"",[],/products_imags/203909.jpg,,f,1,f,,f,f,2,15,5,,,,,0,f,0,0,0,,,
6761,DISQUE DE FRIEN TOYOTA HILUX VII PICK-UP ,,"",IBRA,,374.82,,,35,243.63,,,,,,,,0,0,,43512-0K060+T2066V+-+-+-,,,2045140,"",[],/products_imags/2045140.jpg,,f,1,f,,f,f,20,15,5,,,,,0,f,0,0,0,,,
6760,DISQUE DE FRIEN VOLKSWAGEN CADDY III 2.0 TDI GOLF V VI A3,,"",IBRA,,317.2,,,35,206.18,,,,,,,,0,0,,1K0615301AC +DF4294+A1001V+-+-,,,204787,"",[],/products_imags/204787.jpg,,f,1,f,,f,f,21,15,5,,,,,0,f,0,0,0,,,
6782,DISQUE DE FRIEN FORD TRANSIT CUSTOM V362 2.0 ,None,1019,IBRA,,487.02,,,35,316.56,,0,,DF6514S,""" F1037V""",,,0,0,,"1763885+DF6514S+F1037+-+-
1763885
DF6514S
F1037V
1763885
BK211125BB
1842994
BK211125BC",,[],202589,288mm,[],/products_imags/202589.jpg,,f,1,f,,f,f,6,15,5,,,AVANT,"",0,f,0,0,0,,,
6780,DISQUE DE FRIEN HYUNDAI ACCENT III I20 KIA RIO II 1.5 CRDi ,None,1024,IBRA,,310.09,,,35,201.56,,0,, DF4839 , K2014V ,,,0,0,,"51712-1G000+DF4839+K2014V+-+-
51712-1G000
DF4839
K2014V
",,[],203523,"",[],/products_imags/203523.jpg,,f,1,f,,f,f,8,15,5,,,"","",0,f,0,0,0,,,
6779,DISQUE DE FRIEN HYUNDAI H1 CARGO H-1 TRAVEL,None,1025,IBRA,,414.01,,,35,269.11,,0,,DF6446,H2022V,,,0,0,,"517124H500+H2022V+DF6446+-+-
517124H500
DF6446
H2022V
09.B611.10

",,[],203436,"",[],/products_imags/203436.jpg,,f,1,f,,f,f,8,15,5,,,"","",0,f,0,0,0,,,
6927,CHAPPE DE DERICTION GOLF 4 LONG GAUCHE,,"","",65,90,,,0,90,,,,,,,,0,0,,-+-+V89+-+-,,,1j0422812b,"",[],/products_imags/1J0422812B.jpg,,f,1,f,,f,f,21,33,17,,,,,0,f,0,0,1,,,
8573,INTIGEL HEP,"","",,30,40,,30,0,40,0,,,,,,,-48,0,,"",,"[""""]",1010hpe,"",[],"",0,f,1,f,,f,f,2,19,17,90,,,,0,f,0,0,0,,,
6763,DISQUE DE FRIEN SUZUKI ALTO III SUPER CARRY ,None,1026,IBRA,,248.1,,,35,161.26,,0,,DF1925,S5011P,,,0,0,,"55311-60811+DF1925+S5011P+-+-
55311-60811
DF1925
S5011P
08.5026.10
",,[],205202,"",[],/products_imags/205202.jpg,,f,1,f,,f,f,19,15,5,,,"","",0,f,0,0,0,,,
